Name,MaxHealth,AttackPower,Description
Dragao Bebe,100.00,20.00,"Pequeno bebe de dragao, e novo mas ja demonstra grande forca."
Goblin Selvagem,50.00,10.00,"Um goblin agil e feroz que ataca em bando."
Troll das Montanhas,300.00,40.00,"Uma criatura massiva das montanhas, extremamente forte."
Esqueleto Guerreiro,75.00,15.00,"Um guerreiro morto-vivo armado com uma espada enferrujada."
Orc Bruto,120.00,25.00,"Um orc enorme com golpes poderosos."
Bandido do Deserto,60.00,12.00,"Um ladrao habilidoso que opera nas areias escaldantes."
Lobisomem,200.00,35.00,"Um humano transformado em fera sob a luz da lua cheia."
Aranha Gigante,80.00,18.00,"Uma aranha de tamanho colosal que tece teias mortais."
Morcego Vampiro,40.00,10.00,"Um morcego que se alimenta de sangue para curar suas feridas."
Zumbi Podre,60.00,8.00,"Um corpo reanimado que se move lentamente, mas com determinacao."
Fantasma Errante,50.00,0.00,"Um espirito errante que assombra os vivos. Imune a ataques fisicos."
Necromante,90.00,30.00,"Um feiticeiro das artes sombrias que pode ressuscitar os mortos."
Golem de Pedra,250.00,20.00,"Um colosso feito de rochas e magia, com forca bruta inigualavel."
Ciclope,180.00,35.00,"Uma criatura gigante de um olho so, extremamente agressiva."
Serpente Marinha,160.00,28.00,"Um monstro dos mares, capaz de esmagar navios com seu corpo."
Dragao Anciao,400.00,50.00,"Um dragao imenso e experiente, mestre dos ceus e do fogo."
Demônio Infernal,220.00,40.00,"Um ser das profundezas com chamas ao seu redor."
Mimico,100.00,20.00,"Um bau vivo que engana aventureiros desavisados."
Harpia,70.00,15.00,"Uma criatura alada com canto mortal que atrai suas vitimas."
Homem Cobra,90.00,22.00,"Metade humano, metade serpente, ataca com veneno mortal."
Guardiao de Fogo,150.00,35.00,"Uma entidade elemental feita de chamas vivas."
Guerreiro Fantasma,130.00,28.00,"Um espirito que luta eternamente, preso entre a vida e a morte."
Cavaleiro Negro,180.00,40.00,"Um cavaleiro corrompido pela escuridao, coberto de armadura negra."
Bruxa das Sombras,100.00,25.00,"Uma feiticeira que usa magia negra para drenar a vida dos outros."
Homem de Gelo,110.00,20.00,"Uma criatura feita de gelo que congela tudo ao seu redor."
Guerreiro Orc,140.00,30.00,"Um orc disciplinado, treinado para lutar com eficiencia."
Espantalho Vivo,70.00,10.00,"Um espantalho possuido que aterroriza fazendas durante a noite."
Vampiro Ancestral,200.00,45.00,"Um vampiro velho e poderoso, com habilidades sobrenaturais."
Espada Possuida,80.00,20.00,"Uma arma amaldicoada que flutua no ar e ataca por conta propria."
Tigre Dentes de Sabre,160.00,35.00,"Um felino pre-historico com presas afiadas como espadas."
Minotauro,220.00,45.00,"Uma besta meio-homem, meio-touro, que guarda labirintos."
Anjo Caido,180.00,40.00,"Um ser celestial que foi corrompido pela maldade."
Serpe das Dunas,140.00,28.00,"Uma cobra gigante que se esconde sob as areias do deserto."
Guerreiro de Elite,150.00,35.00,"Um soldado altamente treinado, implacavel no combate."
Monstro de Lama,100.00,15.00,"Uma criatura formada de lama que se regenera continuamente."
Rato Mutante,50.00,10.00,"Um rato enorme, resultado de mutacoes."
Basilisco,200.00,45.00,"Uma criatura lendaria cujo olhar transforma as pessoas em pedra."
Golem de Ferro,300.00,50.00,"Um ser construido de metal, quase invulneravel a golpes fisicos."
Corvo da Noite,40.00,10.00,"Um corvo maligno que se move nas sombras."
Lider Orc,170.00,40.00,"O orc mais forte e astuto de sua tribo."
Bruxo Sombrio,120.00,30.00,"Um mestre da magia negra que invoca criaturas demoníacas."
Rei Esqueleto,250.00,50.00,"Um esqueleto que governa um exercito de mortos-vivos."
Ladrao de Almas,80.00,20.00,"Uma criatura eterea que rouba a essencia vital de suas vitimas."
Mago do Caos,90.00,35.00,"Um feiticeiro insano que manipula as forcas do caos."
Lider Goblin,70.00,18.00,"O goblin mais astuto e cruel, lidera seus seguidores em ataques."
Serpente Gigante,120.00,30.00,"Uma cobra de tamanho descomunal, com veneno letal."
Cacador de Recompensas,130.00,25.00,"Um mercenario que caca alvos por dinheiro, sem piedade."
Ogro,210.00,40.00,"Uma besta grande e burra, mas extremamente perigosa em combate."
Guardiao da Floresta,180.00,35.00,"Um ser que protege as florestas com ataques devastadores."
Ceifador Sombrio,100.00,30.00,"Uma entidade encapuzada que leva as almas dos mortos."
Dragao Verde,320.00,55.00,"Um dragao coberto de escamas verdes, com um sopro venenoso."
Guina,150.00,30.00,"Guina, um homem misterioso e imponente, cuja presenca intimida ate os guerreiros mais corajosos."
Homem Lagarto,110.00,22.00,"Uma criatura meio-humana, meio-lagarto, com habilidades anfibias."
Serpente de Cristal,150.00,33.00,"Uma cobra com escamas cristalinas que reflete a luz para cegar suas vitimas."
Urso Pardo Gigante,200.00,38.00,"Um urso de tamanho colosal com garras afiadas."
Sentinela de Pedra,300.00,45.00,"Uma estatua viva que guarda entradas antigas."
Lobo Alfa,130.00,25.00,"O lider de uma alcateia de lobos, feroz e estrategico."
Sombra,80.00,18.00,"Uma entidade espectral que surge das trevas, movendo-se silenciosamente e atacando com ferocidade."
Clone,120.00,25.00,"Uma replica perfeita de seu oponente, imitando todos os seus movimentos e tecnicas, mas sem alma."
